Again?,Rating,Summary,Tag,Title,URL,Ingredients,Directions,Tags
100%,4.0,This is not your grandma’s beef stroganoff. We updated our favorite parts of the classic by swapping in a medium-rare strip steak and adding a squeeze of lemon and sprinkling of dill for a fresh take on dinner.,recipe,Steak Stroganoff,/recipes/food/views/steak-stroganoff,"1 lb. boneless New York strip steak, patted dry3 Tbsp. extra-virgin olive oil, divided2 tsp. kosher salt, divided, plus more1 tsp. freshly ground black pepper, divided, plus more1 lb. wild mushrooms, such as oyster or maitake, torn into pieces4 garlic cloves, crushed12 oz. wide egg noodles4 Tbsp. unsalted butter2 tsp. finely grated lemon zest2 Tbsp fresh. lemon juice3 Tbsp. brandy1/2 cup heavy cream1 Tbsp. Worcestershire sauce1 tsp. Dijon mustard1/2 cup sour cream1/2 cup torn dill","Heat a dry 10"" skillet, preferably cast iron, over medium-high. Rub steak with 1 Tbsp. oil, then season all over with 1 tsp. salt and 1/2 tsp. pepper. Cook, turning every 2 minutes and making sure to get color on the fat cap, until browned on all sides and medium-rare (an instant-read thermometer inserted into the center should register 120°F), 10–15 minutes. Transfer steak to a plate. Pour off oil from skillet, leaving crispy bits behind.
                                                                            Heat remaining 2 Tbsp. oil in same skillet over medium-high. Add mushrooms and cook, stirring occasionally, until golden brown and beginning to crisp, 6–8 minutes. Add garlic, season with 1 tsp. salt and 1/2 tsp. pepper, and continue to cook until mushrooms are well browned and garlic is fragrant, 3–4 minutes.
                                                                            Meanwhile, cook noodles in a large pot of boiling salted water, stirring occasionally, until al dente. Drain and return to pot. Add butter, lemon zest, and lemon juice; season to taste with salt and pepper.
                                                                            Stir brandy and 1/2 cup water in a small bowl. Add to mushroom mixture and cook, stirring occasionally, until reduced by half, about 2 minutes. Remove from heat, then add cream, Worcestershire, and mustard and stir to combine. The heat of the pan will reduce and thicken the sauce slightly—if it doesn’t, cook over medium-low heat for about 1 minute. Stir in sour cream until combined and warmed through.
                                                                            Slice steak against the grain into 1/2""-thick slices. Divide noodles among plates. Top with steak, creamed mushrooms, and dill, then season with a few cranks of pepper.",SteakMushroomGarlicNoodleButterLemonBrandyMilk/CreamMustardSour CreamDillDinnerEastern European/Russian
0%,0.0,"Chickpeas are cheaper and heartier in texture when made from dried, rather than canned beans. And the Instant Pot makes quick work of them.",recipe,"Instant Pot Chickpea Salad with Lemon, Feta, and Fresh Dill",/recipes/food/views/instant-pot-chickpea-salad-with-lemon-feta-and-fresh-dill,"For the chickpeas:1 cup dried chickpeas, rinsed, drained, and picked over to remove debris1/2 teaspoon salt6 cups waterFor the salad:1/4 cup extra-virgin olive oilFreshly squeezed juice of 1 large lemon1 teaspoon honeyPinch of saltPinch of freshly ground black pepper1 medium English cucumber, peeled, quartered, and sliced 1⁄4 inch thick1 cup diced feta cheese (about 4 ounces)2 1/2 cups cooked chickpeas1 large bunch fresh dill (about 2 ounces), large stems removed, fronds finely chopped","To make the chickpeas:                                        Place the chickpeas, salt, and water in the inner pot. Close and lock the lid. Set the valve to Sealing. Press Manual or Pressure Cook and use the Pressure or Pressure Level button to select High Pressure. Use the – or + button to set the time to 35 minutes.
                                                                            When the cooking cycle ends, press Cancel. Allow the appliance to cool and release pressure naturally, about 25 minutes. (The pressure is released when the small metal float valve next to the pressure-release valve sinks back into the lid and the lid is no longer locked.)
                                                                            Remove the lid. Wearing oven mitts, remove the inner pot (be careful—it’s hot!) and drain the chickpeas through a colander.
                                                                            Chickpeas will keep, in an airtight container in the refrigerator, for up to 5 days. Serve chilled or at room temperature.
                                    For the salad:                                        Make the dressing: Place the olive oil, lemon juice, honey, salt, and pepper in a Mason jar with a lid (or an airtight container) and shake to combine.
                                                                            Place the cucumber, feta, chickpeas, and dill in a large bowl and toss to combine. Pour the dressing over the salad and then toss the salad to distribute the dressing. Serve at room temperature or chilled.
                                    Do Ahead                                        Chickpeas with Lemon, Feta, and Fresh Dill will keep, in an airtight container in the refrigerator, for up to 2 days. Serve leftovers chilled.
                                    Other Serving Suggestions: Make them crispy and crunchy:
Toss cooked chickpeas with olive oil, salt, and pepper. (Add garlic powder, ground cumin, or curry powder for a twist.) Place them on a rimmed baking sheet and bake in a preheated 450°F oven, shaking the pan occasionally, until browned, about 30 minutes.
                                     Red Pepper Chickpeas:
Toss cooked chickpeas with chopped red bell pepper, olive oil, and salt and pepper for a brightly colored, fresh-tasting salad.
                                     Chicken Chickpea Pizza:
Place equal parts lightly mashed cooked chickpeas and whole chickpeas on a raw pizza crust, drizzled generously with extra-virgin olive oil, and bake the pizza as normal. Just before the pizza is finished. Remove it from the oven and top with diced cooked chicken breast and crumbled feta cheese and then cook until the chicken and feta are warm.
                                     Chickpea Salad Spread:
Coarsely mash cooked chickpeas with mayonnaise and diced celery. Use as a stand-in for tuna in a sandwich.
                                     Greek-Salad Chickpeas:
Tossed with olive oil and lemon juice, cooked chickpeas can be tucked into a pita with Greek yogurt, chopped tomatoes, and fresh Italian (flat-leaf) parsley. Sprinkle with ground cumin or smoked paprika.",ChickpeaSuper BowlInstant PotPressure CookerBeanSaladQuick & Easy
100%,4.0,"A coating of crushed, freeze-dried raspberries and pink sanding sugar adds color, sparkle, and crunch to these festive cookies.",recipe,Pistachio-Rose Shortbread Squares,/recipes/food/views/pistachio-rose-shortbread-squares,"2 1/4 cups all-purpose flour1/4 tsp. baking powder1 tsp. kosher salt1 1/2 cups powdered sugar1 cup (2 sticks) unsalted butter, softened1 large egg2 Tbsp. rose rooibos tea or other rooibos tea, crushed1 tsp. finely grated lemon zest1/2 tsp. vanilla extract1/2 cup raw pistachios, chopped1/4 cup freeze-dried raspberries1/4 cup pink or red sanding sugar","Whisk flour, baking powder, and salt in a medium bowl.
                                                                            Using an electric mixer on medium-high speed, beat powdered sugar and butter in a large bowl until aerated and pale, about 3 minutes. (Alternatively, use a stand mixer fitted with the paddle attachment.) Scrape down sides of bowl, then beat 2 minutes more. Reduce mixer speed to medium, add egg, and beat until well incorporated. Add tea, lemon zest, and vanilla and beat, scraping down sides of bowl, until combined, about 30 seconds more.
                                                                            Reduce mixer speed to low and beat in dry ingredients, followed by pistachios. Stir dough a few times with a spatula, making sure to get to bottom of bowl.
                                                                            Turn out dough onto a clean work surface and divide into quarters. Working one quarter at a time, place dough on a sheet of parchment paper and pat with your hands into a log, then pull the parchment up around the log and, using the parchment to help contain the dough, press it firmly against your work surface, rotating and squaring off edges until you have a long 1""-thick rectangle. Wrap parchment-wrapped dough tightly in plastic wrap and chill at least 3 hours.
                                                                            Place racks in upper and lower thirds of oven; preheat to 325°F. Line 2 rimmed baking sheets with parchment paper. Unwrap dough and let sit at room temperature 10–15 minutes.
                                                                            Pulverize raspberries into a fine powder in a food processor or spice mill. Transfer to a plate and mix in sanding sugar.
                                                                            Roll dough in raspberry sugar, pressing with your hands to adhere. Using a thin, sharp knife, cut into 1/3""-thick slices, rotating rectangle a quarter turn after each slice to help maintain its shape. Arrange slices on prepared baking sheets, spacing 1/2"" apart. Bake cookies, rotating pans top to bottom and front to back halfway through, until opaque and barely golden, 14–16 minutes. Transfer pans to wire racks and let cool.
                                    Do Ahead:                                        Dough can be made 4 days ahead. Keep chilled. Cookies can be made 1 week ahead. Store in an airtight container at room",CookiesHoliday 2018ButterTeaEggLemonVanillaPistachioRaspberryChristmasDessertBake
0%,0.0,"Sharbats are sweet boiled fruit syrups served across Central Asia and Northern Africa, though flavor combinations vary widely. This one is infused with bright, floral, citrusy cardamom that compliments the lemon perfectly.",recipe,Cardamom Sharbat,/recipes/food/views/cardamom-sharbat-lemonade,1 tablespoon green cardamom pods1/2 cup freshly squeezed lemon juice (from about 3 lemons)1 cup granulated sugarCold still or sparkling water,"With the flat side of a knife, crush the cardamom pods to reveal the black seeds inside. In a saucepan over medium-low heat, bring the cardamom pods and seeds, lemon juice, and sugar to a simmer, stirring occasionally, until the sugar dissolves. Increase the heat to maintain a rapid simmer for 10 minutes. Don’t allow the mixture to boil. After 10 minutes, strain the mixture through a fine-mesh sieve, reserving the liquid and discarding the solids. Cool to room temperature, then refrigerate until cold and syrupy.
                                                                            Fill a glass with still or sparkling water. Stir in 1 tablespoon sharbat for each 1 cup water. Some syrup will settle at the bottom of the glass, so serve it with a spoon to allow for continued stirring or consider the last sip a sweet treat.",LemonLemon JuiceCitrusMiddle EasternAfricanDrinkSummerDrinksNon-AlcoholicCardamom
100%,4.0,"This is the condiment version of those summer sandals you want to wear with everything. It goes with sandwiches, crunchy vegetables, and chips.",recipe,Fiery Green Tahini Sauce,/recipes/food/views/fiery-green-tahini-sauce,"2 lemons2 serrano chiles2 garlic cloves, crushed3 cups chopped parsley1/4 cup extra-virgin olive oil1/2 cup tahiniKosher salt","Finely grate zest of 1 lemon into a blender. Cut both lemons in half and tease out seeds. Squeeze juice into blender; you should have around 1/2 cup. Add chiles, garlic, parsley, oil, and 1/3 cup cold water and blend on high speed until smooth and very green.
                                                                            Pour mixture into a medium bowl, add tahini, and whisk until fully incorporated; season sauce generously with salt.
                                                                            Do ahead: Sauce can be made 3 days ahead. Cover and chill.",Bon AppétitCondiment/SpreadCondimentDipSesameChile PepperHot PepperLemonParsleySauce
100%,4.0,So you want to eat all the seasonal greens but can’t face another salad? Cream (and butter...and cheese...) to the rescue.,recipe,Spring Greens and Leek Gratin,/recipes/food/views/spring-greens-and-leek-gratin,"3 Tbsp. unsalted butter2 large leeks (about 8 oz.), white and light green parts only, thinly sliced1 bunch ramps, bulbs thinly sliced, greens coarsely chopped (or 3 large garlic cloves, thinly sliced)2 large bunches mature arugula, coarsely chopped1 bunch mature spinach, coarsely chopped2 tsp. ground coriander1 tsp. kosher saltPinch of cayenne pepperFinely grated zest of 1/2 lemon1 1/2 cups heavy cream1/2 cup plus 2 Tbsp. finely grated Parmesan3/4 loaf crusty bread, crusts removed, torn into irregular 1/2"" pieces (about 3 cups torn bread)2 Tbsp. extra-virgin olive oil","Preheat oven to 350°F. Melt butter in an ovenproof 10"" skillet (such as cast iron) over medium-low heat. Add leeks and ramp bulbs and cook, stirring often, until leeks are softened, about 10 minutes. (Try to keep the leeks from browning.)
                                                                            Add ramp greens, arugula, and spinach in big handfuls, cooking and wilting one batch before adding the next. (At first it will look like all those greens will never fit in the skillet, but keep at it—you’ll see!) When all greens are wilted (this may take 15–20 minutes), add coriander, salt, and cayenne. Cook, stirring, until spices are incorporated, about 1 minute. Add lemon zest, cream, and 1/2 cup Parmesan. Continue to cook, stirring, until cream has slightly reduced, about 2 minutes longer. Remove from heat.
                                                                            Toss bread with oil in a large bowl to coat. Arrange bread on top of vegetables, taking care not to cover the greens completely (you want them to peek through here and there). Sprinkle remaining 2 Tbsp. Parmesan over.
                                                                            Transfer to oven and bake gratin until bread is golden brown and crisp, cheese is melted, and cream is bubbling, 35–45 minutes. Let cool slightly before serving.",Casserole/GratinButterLeekArugulaSpinachCorianderLemonMilk/CreamParmesanBreadVegetarianSideSpringEntertaining
0%,0.0,Panchos are Argentina’s take on hot dogs—a street-food staple that features a vast array of toppings.,recipe,Panchos Argentinos (Argentine-Style Hot Dogs),/recipes/food/views/panchos-argentinos-argentine-style-hot-dogs,"For the Salsa Criolla:1 small onion, finely chopped (about 1 cup)1 small green bell pepper, finely chopped (about 1/2 cup)1 small tomato, seeded, finely chopped (about 1/2 cup)1/4 cup extra-virgin olive oil2 Tbsp. red wine vinegar or apple cider vinegarJuice of 1 lemonKosher salt, freshly ground pepperFor the Hot Dogs and Assembly:8 uncured natural casing all-beef sausages (such as Applegate)Mayonnaise (for serving)4 hot dog buns, spiltYellow mustard (for serving)","Make the Salsa:                                        Mix onion, bell pepper, and tomato in a large bowl. Add oil, vinegar, and lemon juice, then toss to combine. Taste and season with salt and pepper, then toss again.
                                     Do Ahead: Salsa can be made 5 days ahead. Transfer to a jar or airtight container and chill. Let sit at room temperature at least 30 minutes before using.
                                    Make the Hot Dogs:                                        Slice sausages in half lengthwise, going almost all the way through so they can be opened like a book, but are still attached on one side. Heat a large nonstick skillet over medium-high until hot. Working in batches, cook sausages cut side down, weighting down with a spatula or a small pot lid and turning once, until slightly browned, about 2 minutes per side. Transfer to a plate.
                                                                            Smear a generous amount of mayonnaise on both sides of buns. Arrange 2 butterflied hot dogs on each side of buns, cut side facing the bread. Top with mustard and a generous amount of salsa.",SausageSalsaOnionPeanut FreeBell PepperTomatoVinegarLemonMayonnaiseMustardSummerDinnerArgentine
100%,3.5,One large potato pancake sliced into wedges is an easy large-format alternative to making individual latkes.,recipe,Hanukkah Chicken,/recipes/food/views/hanukkah-chicken,"3 lb. skinless, boneless chicken thighs1/4 tsp. cayenne pepperKosher salt, freshly ground pepper2 lb. russet potatoes, peeled, coarsely shredded on the large holes of a box grater or in a food processor1 small onion, peeled, shredded on the large holes of a box grater or in a food processor2 Tbsp. matzo meal1 large egg1/2 cup plus 2 Tbsp. vegetable, canola, or grapeseed oil, divided3 Pink Lady apples (about 1 1/2 lb.), sliced into 1/2"" wedges1/2 cup dry white wine1 1/2 cups unsweetened applesauce4 sprigs thyme2 Tbsp. fresh lemon juice1/4 cup coarsely chopped parsley leaves2 tsp. finely grated lemon zest","Place a rack in oven as close to broiler as possible; preheat broiler. Season chicken on all sides with cayenne, 1 Tbsp. salt, and 1 tsp. black pepper. Let sit 10–15 minutes.
                                                                            Meanwhile, working in batches, wring out excess moisture from shredded potatoes and onion in a clean dish towel over the sink (the more liquid you remove, the crispier your latkes will be, so take your time and use several towels if necessary). Transfer potatoes and onion to a large bowl.
                                                                            Whisk matzo meal, 2 tsp. salt, and 1 tsp. pepper in a medium bowl. Add egg and whisk to combine. Add to potato mixture and mix to evenly distribute.
                                                                            Heat 1/4 cup oil in a 10"" ovenproof (preferably cast-iron) skillet over medium-high until shimmering. Carefully transfer potato mixture into hot oil in skillet and use a rubber spatula to spread it into an even layer, pressing to flatten as much as possible. Cook until edges are just starting to brown, about 5 minutes. Brush 2 Tbsp. oil over and transfer skillet to broiler. Broil, checking often to make sure latke isn’t burning, until top is crisped and deeply golden brown, 10–12 minutes.
                                                                            While latke is in the oven, heat remaining 2 Tbsp. oil in a large skillet over high. Working in 2 batches, cook chicken flat side down until golden brown, about 4 minutes. Turn and cook until other side is golden brown, about 1 minute. Transfer to a plate.
                                                                            Cook apples in hot oil and fat in pan over medium-high heat, stirring occasionally, until caramelized and softened, 8–10 minutes. Add wine and cook, stirring occasionally, until reduced by half, 2–3 minutes. Using a slotted spoon, transfer apples to a medium bowl, leaving reduced wine behind in skillet. Add applesauce, thyme, and 3/4 tsp. salt to skillet and stir to combine. Nestle chicken into sauce in skillet. Pile apple mixture over chicken. Cover and cook over medium heat until chicken is cooked through, about 15 minutes.
                                                                            Carefully invert skillet with latke onto a cutting board, then slice latke into 8 wedges.
                                                                            Drizzle lemon juice over chicken. Toss parsley, lemon zest, and 1/4 tsp. salt in a small bowl. Sprinkle over chicken and apples. Serve chicken with latke wedges alongside.",ChickenHanukkahPotatoOnionEggAppleWineLemonParsley
100%,4.0,"Parmesan and thyme make this baby decidedly savory—but the real beauty here is that the batter can be made up to two days in advance and kept in the fridge for an easy, romantic breakfast for two.",recipe,Savory Dutch Baby for Two,/recipes/food/views/savory-dutch-baby-for-two,"1/4 cup all-purpose flour1 Tbsp. sugar1 tsp. finely chopped thyme leaves1/2 tsp. kosher salt1/2 tsp. freshly ground black pepper2 Tbsp. finely grated Parmesan, plus more for serving2 large eggs1/2 cup whole milk2 Tbsp. unsalted butter, cut into piecesCrème fraîche, smoked salmon, baby greens, and lemon wedges (for serving; optional)","Preheat oven to 425°F. Whisk flour, sugar, thyme, salt, pepper, and 2 Tbsp. Parmesan in a small bowl.
                                                                            Process eggs and milk in a blender until light and frothy, about 2 minutes. Add flour mixture and pulse to combine.
                                                                            Heat a 10"" cast-iron skillet over medium-high. Once hot, melt butter and swirl to coat skillet. Pour batter into hot melted butter in skillet. Transfer to oven and bake until puffed and golden brown, 12–15 minutes.
                                                                            Sprinkle Parmesan over pancake before serving with crème fraîche, smoked salmon, baby greens, and lemon wedges (if using).
                                     Do Ahead: Batter can be made 2 days ahead. Transfer to a medium jar and chill. Shake jar before cooking.",PancakeThymeParmesanCheeseEggMilk/CreamButterSalmonLemonValentine's DayBakeBreakfastBrunchQuick & Easy
80%,2.5,"Made with crème fraîche and chives, this quiche is good enough to be eaten plain. But a buffet of garnishes—smoked salmon, avocado, braised leeks, and more—is what’ll make this Easter brunch truly memorable.",recipe,Deep Dish Quiche with Garnishes,/recipes/food/views/deep-dish-quiche-with-garnishes,"1 full recipe Our Favorite Pie DoughAll-purpose flour (for surface)2 shallots, finely chopped2 Tbsp. extra-virgin olive oil1 1/2 tsp. kosher salt, divided1 Tbsp. finely chopped chives8 large eggs1 3/4 cups half-and-half1/2 tsp. freshly ground black pepper1 cup crème fraîche, plus more for servingBraised Leeks, Peas, and Lettuce, prosciutto or other cured meat and/or salmon, green goddess dressing, avocado, baby greens, and lemon wedges (for serving)","Roll dough to a 15"" round on a lightly floured work surface; trim edges. Fit dough into a 9"" springform pan, letting dough fold over itself slightly around the edges so that it creates a gently pleated, rippled effect (the dough will extend above top of pan). Place pan on a rimmed baking sheet. Chill 1 hour, or freeze 20 minutes.
                                                                            Preheat oven to 350°F. Dock bottom surface of dough with a fork. Line dough with parchment paper or foil, then fill with dried beans or baking weights. Bake crust on baking sheet until top edge is golden, about 30 minutes. Using parchment, lift out beans, then continue to bake until surface of crust is set and lightly browned and feels dry, 35–40 minutes more. Transfer pan to a wire rack and let cool.
                                                                            While crust cools, reduce oven temperature to 325°F. Cook shallots, oil, and 1/2 tsp. salt in a small skillet over medium-low heat, stirring often, until tender and translucent, about 5 minutes. Remove from heat and stir in chives. Spoon filling into cooled crust.
                                                                            Vigorously whisk eggs in a large bowl or glass measuring cup. Whisk in half-and-half, pepper, 1 cup crème fraîche, and remaining 1 tsp. salt until combined. Pour custard over filling. Bake quiche until filling is puffed, set, and golden, 60–75 minutes. Transfer pan to a wire rack and let cool at least 1 hour. Release springform, then lift quiche off base using parchment overhang and transfer to a platter or cutting board.
                                                                            Serve with braised vegetables, prosciutto, crème fraîche, green goddess dressing, avocado, greens, and lemon wedges alongside for guests to dress their quiche as desired.
                                     Do Ahead: Crust can be baked 1 day ahead. Store uncovered at room temperature. Quiche can be made 6 hours ahead. Store uncovered at room temperature. Quiche can also be made 1 day ahead; cover and chill overnight. Bring to room temperature 2 hours before serving.",QuicheShallotChiveEggProsciuttoSalmonAvocadoLemonEasterBrunchEntertainingMother's DayBreakfastLunchFrench
100%,4.0,A tangy lemon-butter pan sauce studded with salty capers is the hallmark of this classic checkered-tablecloth favorite. Have some crusty bread on hand to mop up the excess.,recipe,Chicken Piccata,/recipes/food/views/chicken-piccata,"2 large skinless, boneless chicken breastsKosher salt1/2 cup all-purpose flour3 Tbsp. extra-virgin olive oil, divided4 garlic cloves, smashed1/3 cup dry white wine1 Tbsp. drained capers, coarsely chopped4 Tbsp. unsalted butter, cut into pieces2 Tbsp. fresh lemon juiceChopped parsley and lemon wedges (for serving)","Slice chicken breasts in half crosswise into 4 cutlets and lightly pound each piece between sheets of plastic wrap until an even thickness (about ½"" thick or less). Season lightly with salt. Place flour in a medium shallow bowl. Working one at a time, place cutlets in bowl and toss to coat in flour. Knock off excess flour and transfer to a plate.
                                                                            Heat 2 Tbsp. oil in a large skillet over medium-high. Working in batches if needed to avoid overcrowding the pan, cook cutlets, without moving them, until deeply browned underneath, about 2 minutes. Turn over and cook on the other side just until chicken is nearly cooked through, about 30 seconds. Transfer to a clean plate.
                                                                            Add garlic and remaining 1 Tbsp. oil to the skillet and cook, stirring often and reducing heat if needed to keep garlic from scorching, until golden brown, about 2 minutes. Add wine and capers and cook, swirling pan and scraping up any browned bits stuck to the bottom of skillet, until liquid is almost completely evaporated, about 3 minutes. Add ½ cup water, followed by the butter. Swirl pan vigorously while butter melts to help it form an emulsion with water, about 1 minute.
                                                                            Return chicken to skillet and simmer until chicken is cooked through and sauce is thick enough to coat a spoon, about 2 minutes. Remove from heat and stir lemon juice into sauce; season with salt. Transfer chicken and sauce to a platter and top with parsley; serve with lemon wedges.",Bon AppétitDinnerItalian AmericanKid-FriendlyCapersChickenLemonWhite WineGarlicSoy FreePeanut FreeTree Nut Free
0%,0.0,No pots or pans needed for this easy summertime recipe. Just fire up the grill!,recipe,Grilled Steak with Peas and Eggplant over Whipped Ricotta,/recipes/food/views/grilled-steak-with-peas-and-eggplant-over-whipped-ricotta,"1 1/2 cups whole-milk ricotta1 tsp. finely grated lemon zest5 Tbsp. extra-virgin olive oil, divided, plus more for grill and drizzling2 3/4 tsp. kosher salt, divided2 (1""–1 1/2""-thick) boneless strip steaks (about 1 1/2 lb. total), patted dry1 1/2 tsp. freshly ground black pepper, divided, plus more2 small eggplants (about 11 oz. total), trimmed, sliced lengthwise into 1"" spears1/2 lb. sugar snap peas, strings removedFlaky sea salt1/2 cup mint leaves1 Fresno chile, thinly sliced (optional)Lemon wedges (for serving)","Whisk ricotta, lemon zest, 3 Tbsp. oil, and 3/4 tsp. kosher salt in a large bowl until smooth and fluffy; set aside.
                                                                            Prepare a grill for medium-high heat; oil grate. Season steaks on all sides with 1 1/2 tsp. kosher salt and 1 tsp. pepper. Grill steaks until lightly charred and an instant-read thermometer inserted into the thickest part registers 120°F, 5–7 minutes per side for medium-rare. Transfer to a cutting board and let rest 10 minutes before slicing against the grain.
                                                                            While steak rests, toss eggplant with 2 Tbsp. oil; season with 1/2 tsp. kosher salt and 1/2 tsp. pepper. Grill eggplant, turning often, until skin is lightly charred and flesh is softened, about 5 minutes.
                                                                            Grill peas in a grill basket or on a wire rack set over grill alongside eggplant, turning often, until lightly charred and softened, about 3 minutes.
                                                                            Spread reserved ricotta on a platter. Arrange eggplant and peas over. Drizzle with oil; season with sea salt and pepper. Top with mint and chile (if using). Serve with lemon wedges alongside.
                                                                            Transfer steak to another platter. Drizzle with oil, then season with sea salt and pepper. Serve alongside vegetables.",SteakPeanut FreeRicottaLemonEggplantPeaSugar Snap PeaMintChileItalianGrillQuick & EasySummerDinnerWheat/Gluten-Free
100%,4.0,This bright-green combination of lemon and mint is found on tables throughout the Middle East.,recipe,Middle Eastern Limonana,/recipes/food/views/middle-eastern-limonana-mint-lemonade,1 1/2 cups freshly squeezed lemon juice (from about 9 lemons)3 cups loosely packed mint leaves (from about 20 stems)1 cup granulated sugar4 cups still waterIce cubes,"In a blender, combine the lemon juice, mint, sugar, and 1/2 cup of the water and blend until fully liquid. Strain through a fine-mesh sieve, reserving the liquid and discarding the solids. In a pitcher, stir together the mint mixture and the remaining 3 1/2 cups water. Serve over ice cubes.",LemonLemon JuiceSummerDrinksDrinkNon-AlcoholicMintMiddle Eastern
100%,4.0,"By preheating the baking sheet, you’ll ensure that every sprout in this goes-with-anything side has that irresistible crispy edge.",recipe,Honey-Glazed Brussels Sprouts,/recipes/food/views/roasted-brussels-sprouts-with-warm-honey-glaze,"1 1/2 lb. brussels sprouts, trimmed, halved1/4 cup extra-virgin olive oil1/2 tsp. kosher salt, plus moreFreshly ground black pepper1/4 cup honey1/3 cup sherry vinegar or red wine vinegar3/4 tsp. crushed red pepper flakes (optional)3 Tbsp. unsalted butter3 scallions, thinly sliced on a diagonal1 tsp. finely grated lemon zest","Place a rack in bottom third of oven and set a rimmed baking sheet on top; preheat oven to 450°F. Toss brussels sprouts and oil in a large bowl; season with salt and black pepper.
                                                                            Carefully remove baking sheet from oven. Using tongs, arrange brussels sprouts, cut side down, on baking sheet. Roast on bottom rack until tender and deeply browned, 20–25 minutes.
                                                                            Meanwhile, bring honey to a simmer in a small saucepan over medium-high heat. Reduce heat to medium-low and cook, stirring often, until honey is a deep amber color but not burnt (it will be foamy), about 3 minutes. Remove from heat; add vinegar and red pepper flakes, if using, and whisk until sauce is smooth (it will bubble quite aggressively when you first add the vinegar). Set saucepan over medium heat, add butter and remaining 1/2 tsp. salt, and cook, whisking constantly, until glaze is glossy, bubbling, and slightly thickened, about 4 minutes.
                                                                            Transfer brussels sprouts to a large bowl. Add glaze and toss to coat. Transfer to a platter and top with scallions and lemon zest.",Bon AppétitSideWinterBrussels SproutHoneyLemonGreen Onion/ScallionRoastThanksgivingFallSoy FreePeanut FreeTree Nut FreeWheat/Gluten-Free
0%,0.0,Choose cherries or apricots or a mix of both for this classic French baked custard. And no special equipment needed means this is the best summer vacation rental house dessert we know.,recipe,Stone Fruit Clafoutis,/recipes/food/views/stone-fruit-clafoutis,"2 Tbsp. unsalted butter3 large eggs1 cup whole milk1 tsp. finely grated lemon zest1 tsp. kosher salt1 tsp. vanilla extract1/3 cup plus 2 Tbsp. granulated sugar1/2 cup all-purpose flour2 cups halved and pitted cherries, or pitted and sliced apricotsPowdered sugar (for serving; optional)","Preheat oven to 350°F. Place butter in a 2–3-qt. shallow baking dish or medium (10"") ovenproof skillet. Transfer to preheating oven and heat until butter has melted, about 4–6 minutes.
                                                                            Meanwhile, blend eggs, milk, lemon zest, salt, vanilla, and 1/3 cup granulated sugar in a blender until frothy, about 2 minutes. Add flour and blend just until combined.
                                                                            Pour batter into hot baking dish. Arrange fruit evenly over. Sprinkle with remaining 2 Tbsp. granulated sugar. Bake clafoutis until top is puffed and lightly golden brown, 25–35 minutes. Let cool slightly, then sift powdered sugar over (if using). Serve warm.",CustardButterEggMilk/CreamLemonVanillaCherryApricotDessertSoy FreePeanut FreeFrenchSummerBakeEntertainingQuick & Easy
50%,2.0,Saltimbocca relies on the combination of prosciutto and sage and is a classic that pairs with just about any side or salad.,recipe,Chicken Saltimbocca with Crunchy Pea Salad,/recipes/food/views/chicken-saltimbocca-with-crunchy-pea-salad,"2 (8-oz.) skinless, boneless chicken breasts3 large eggs, beaten to blend2 cups panko3/4 cup all-purpose flourKosher salt8 sage leaves4 thin slices prosciutto2 cups vegetable oil4 scallions, very thinly sliced on a diagonal8 oz. sugar snap peas, strings removed, thinly sliced1/2 cup mint leaves, torn if large2 tsp. finely grated lemon zest1 Tbsp. fresh lemon juice1 Tbsp. extra-virgin olive oilFlaky sea saltLemon wedges (for serving)","Place a chicken breast on a cutting board. Holding a knife parallel to board and working along a long side, cut through center of breast until you are 1/2"" from the other side. Open like a book and place butterflied breast between 2 sheets of plastic wrap. Gently pound as thin as possible without tearing meat—about 1/4"" thick and 8"" wide is ideal. Repeat with remaining breast.
                                                                            Place eggs, panko, and flour in separate shallow bowls (cake pans or pie plates work great). Season cutlets lightly with kosher salt. Working with 1 cutlet at a time, press 2 sage leaves onto both sides of meat. Wrap 2 pieces of prosciutto around each cutlet. Dredge in flour, shaking off excess. Dip in eggs, letting excess drip back into bowl. Coat in panko, pressing lightly to help it adhere, then shaking off excess. Place cutlets on a rimmed baking sheet.
                                                                            Heat vegetable oil in a large skillet over medium-high until very hot (an instant-read thermometer should register 350°F–375°F). Carefully lower 1 cutlet along the side of the skillet closest to you and let it slide into oil so it’s lying flat. Swirl oil in skillet carefully so that cutlet is submerged and cook just until bottom side is golden brown, about 2 minutes. Using tongs, carefully turn and cook until golden brown on the other side, about 2 minutes. Transfer to a wire rack; season with kosher salt. Let sit 5 minutes. Repeat with remaining cutlet.
                                                                            Toss scallions, peas, mint, lemon zest and juice, and olive oil in a medium bowl; season with kosher salt. Arrange cutlets on a platter and top with pea salad. Sprinkle with sea salt; serve with lemons.",Bon AppétitDinnerKid-FriendlyChickenSmall PlatesLemonPeaFryProsciuttoSageSugar Snap PeaItalian
